"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"avtA",-1.4402013925398,7.19626877510102,-13.3098823237156,1.25845422236322e-05,0.000349731592496265,3.90662838046555
"gspI",-2.32651477001452,1.16325738500726,-13.2909705662479,1.26876483928936e-05,0.000349731592496265,3.89761046339562
"ygeV",-1.49371759257583,5.08835558170551,-13.2817214173784,1.27384323963989e-05,0.000349731592496265,3.89319525105425
"pntA",1.65303463741362,9.76726167767089,13.2730474492893,1.27862734640756e-05,0.000349731592496265,3.88905172114469
"gatC",-1.42423342140686,12.2326180521824,-13.1911277142828,1.32485713664975e-05,0.000357814664754522,3.84978041843922
"htpG",-1.71821530604147,7.80543136589313,-13.1512503859019,1.34806383516504e-05,0.000357814664754522,3.83057257867776
"fabB",1.25575096755793,9.17355930615452,13.1463950078672,1.35092162938331e-05,0.000357814664754522,3.8282297748602
"cytR",-1.62632823874347,6.17919979735806,-13.1453636886641,1.35152955452051e-05,0.000357814664754522,3.82773203073076
"glnG",-2.13157785916561,7.65639517523861,-13.1407688673278,1.35424190831398e-05,0.000357814664754522,3.82551394959444
"ybdL",1.88774752958482,6.21994246511593,13.0704606080585,1.39654621610832e-05,0.000365299448117637,3.79147373921194
"slp",2.43401548465976,4.67492179988799,13.0625843886876,1.40138047810319e-05,0.000365299448117637,3.78764868518997
"gnd",1.17656677540491,10.2813139962498,12.9725079397805,1.45807634148141e-05,0.000377544567354253,3.74373410130012
"cysM",1.62430208640692,8.98219426452567,12.8399897291576,1.54641379566213e-05,0.000397766303467,3.6785561797019
"iaaA",1.75883614748078,7.61587435227995,12.7317460316733,1.62321599142517e-05,0.000412592509269364,3.62480471480535
"ybaE",-1.7269058475593,2.85868275066359,-12.7288923601778,1.62530004938756e-05,0.000412592509269364,3.62338133771102
"dadX",1.23520977127009,6.20692421110751,12.714288460882,1.63601426664774e-05,0.000412615546211677,3.61609198832982
"uspA",1.53249235312265,8.81827503712459,12.693679976749,1.65127395979724e-05,0.000413611457431955,3.6057909869109
"narJ",-1.4007287717954,5.45629759454105,-12.6803116043474,1.66126126054029e-05,0.000413611457431955,3.59909978177517
"cysU",2.00711350763099,7.79609477463028,12.6418471844005,1.69039197824581e-05,0.000417934478857385,3.57980720953218
"manZ",-1.54295237680095,11.2046285076656,-12.6291407875532,1.70014540832819e-05,0.000417934478857385,3.57342093336015
"aer",-1.90627972465342,4.42016765705345,-12.5434044552523,1.76769574685936e-05,0.000430058778516779,3.53015797700786
"malZ",-1.21129385794695,5.90085178548955,-12.5385514298837,1.77161185794759e-05,0.000430058778516779,3.52770013731039
"leuE",1.37368531977961,4.73620450843425,12.4796591590885,1.81994839427077e-05,0.000439048420083707,3.49779663588861
"gmm",-1.38362228234444,0.691811141172221,-12.4606589568185,1.83586930448656e-05,0.000440155332013938,3.48811842391094
"ccmG",-2.53605836296026,4.3984713146681,-12.437853057654,1.85519364497794e-05,0.00044205963908554,3.47648191507775
"insL3",-1.30291756929319,5.82321315050238,-12.3908558590831,1.89576775888494e-05,0.000448973291189579,3.45243369602903
