"Gene","logFC","adj.P.Val","P","SignedZ"
"marR",-0.175676988471246,0.635615192267005,0.635615192267005,-0.473838339455963
"ybbA",-0.282153442320637,0.635733724606209,0.635733724606209,-0.473672138240655
"fabI",-0.0775897013641812,0.637454804836433,0.637454804836433,-0.471260380442345
"yedL",-0.346897505375206,0.637597306087689,0.637597306087689,-0.47106081578337
"ynbC",0.129726622652359,0.637597306087689,0.637597306087689,0.47106081578337
"fklB",-0.12333287951217,0.638688283435369,0.638688283435369,-0.469533586602318
"rutE",-0.45237128266615,0.639250364314499,0.639250364314499,-0.468747172522205
"ptrB",-0.0860313247308549,0.63928292993855,0.63928292993855,-0.46870161845607
"rpiA",0.0762728371743341,0.63977132697144,0.63977132697144,0.468018546219079
"zapA",0.138178962423257,0.639907468420267,0.639907468420267,0.467828177674761
"dinI",0.284391712725962,0.640892867629142,0.640892867629142,0.466450784608549
"rapZ",-0.0845207532120228,0.641133294380902,0.641133294380902,-0.466114849952221
"sgcA",0.255736741138686,0.641167477953231,0.641167477953231,0.466067091458188
"yncK",0.495109600291407,0.64126819452851,0.64126819452851,0.465926384668421
"prfB",-0.130034968712058,0.642822538069447,0.642822538069447,-0.463756045442952
"lptA",-0.103049523063431,0.642822538069447,0.642822538069447,-0.463756045442952
"yfeX",0.0913703774541292,0.642822538069447,0.642822538069447,0.463756045442952
"yjeT",0.362545448698215,0.642822894319798,0.642822894319798,0.463755548259146
"intD",0.0714079140958098,0.643090975268472,0.643090975268472,0.46338144636099
"eutH",-0.257413992159662,0.64338616282436,0.64338616282436,-0.462969592707558
"tsf",0.0664802411311407,0.643663117674301,0.643663117674301,0.462583249210798
"tufB",-0.0779676037126798,0.644809679386881,0.644809679386881,-0.460984564439076
"ftsB",-0.276813448913908,0.645538059624518,0.645538059624518,-0.459969574307882
"yegX",-0.14184075801956,0.645538059624518,0.645538059624518,-0.459969574307882
"deoR",-0.0859089917087219,0.646006540185208,0.646006540185208,-0.459317001999192
"ycjY",0.461367840321145,0.646064926035322,0.646064926035322,0.459235686852853
"pal",0.122871683915257,0.646064926035322,0.646064926035322,0.459235686852853
"helD",0.077018226687177,0.646064926035322,0.646064926035322,0.459235686852853
"fhuE",0.178197355647965,0.647777395314651,0.647777395314651,0.456852043868918
"sseA",-0.092017656008061,0.649744971022772,0.649744971022772,-0.454116509652137
"yigI",-0.389298846601695,0.650130710726901,0.650130710726901,-0.453580611879302
"nagB",-0.18628644574097,0.650130710726901,0.650130710726901,-0.453580611879302
"lpxB",-0.0821208286708829,0.650130710726901,0.650130710726901,-0.453580611879302
"ygdB",-0.502552526280714,0.650439718623226,0.650439718623226,-0.453151409497737
"rplX",-0.0933669227156526,0.650439718623226,0.650439718623226,-0.453151409497737
"trpE",-0.0727943201997416,0.650939898013619,0.650939898013619,-0.452456852677078
"ybgA",0.17966632596869,0.651020436536618,0.651020436536618,0.452345036049383
"ynfL",-0.15863455098364,0.651020436536618,0.651020436536618,-0.452345036049383
"ubiH",-0.0727628010850936,0.651020436536618,0.651020436536618,-0.452345036049383
"ydgK",0.243956127395208,0.652627692546847,0.652627692546847,0.450114762797929
"torA",0.127927280476579,0.652627692546847,0.652627692546847,0.450114762797929
"dgoT",-0.327920825273896,0.652649331670555,0.652649331670555,-0.450084751040856
"yoeA",0.33122975559694,0.65308787621175,0.65308787621175,0.449476611673378
"ubiD",-0.0689246291742735,0.65329910586168,0.65329910586168,-0.449183754188179
"yiaU",0.130726519048049,0.654231787788756,0.654231787788756,0.447891105615247
"lepA",0.0901243586179303,0.654231787788756,0.654231787788756,0.447891105615247
"mtlR",0.164247530491174,0.654386831958359,0.654386831958359,0.447676295056667
"pyrB",-0.101031475195333,0.655227320311525,0.655227320311525,-0.446512174584977
"ihfB",0.317168850004035,0.655310714182122,0.655310714182122,0.446396702715197
"ydhJ",-0.250645917537943,0.655310714182122,0.655310714182122,-0.446396702715197
"ydfE",0.280367506855043,0.655332729621216,0.655332729621216,0.446366219886199
"recX",0.315834236210136,0.655560705955907,0.655560705955907,0.446050585621321
"yegP",0.317155675540507,0.655587146983614,0.655587146983614,0.446013980775354
"menB",-0.0924043345070114,0.657178979739041,0.657178979739041,-0.443811352794794
"rihB",0.179310671869931,0.657352029282615,0.657352029282615,0.443572033063366
"yggT",0.14627474128956,0.658083252531115,0.658083252531115,0.442561064438466
