"","Read_count_A.1","Read_count_A.2","Read_count_A.3","Read_count_WT.1","Read_count_WT.2","Read_count_WT.3","Read_count_B.1","Read_count_B.2","Read_count_B.3","Read_count_C.1","Read_count_C.2","Read_count_C.3"
"araJ",9.58250276328794,10.0542314167204,9.70624284364776,9.73046452898081,9.63206913410088,9.97143321704814,9.68533538721192,9.31261656288216,9.92355673964128,9.64937266884144,9.77913948775006,9.77797513090978
"arcA",13.254866727169,12.6293563297712,13.3154247687274,12.4320843825239,12.4612325758885,12.2635215273693,13.4320354576806,13.6031123613743,13.0926318595514,12.9205631375041,12.7336369097167,12.7127036174782
"arcB",12.1423788708204,12.0758239596161,12.531012139103,12.227636101793,12.424506293129,12.2453124960485,11.8275733444478,12.4220990648236,12.5306449068292,12.3540473548825,12.2820042687493,12.198920371015
"arcZ",6.9460429332189,7.36199314967813,7.71055420608683,7.39893705597506,7.40302354407379,7.6503437628752,6.88074157568047,7.32148699744481,7.70456475543276,7.39028322200744,7.66212292993974,6.96831695888939
"arfA",8.07205671444848,7.88094555236845,8.5016694385225,7.00042349710827,8.03733638476912,7.6676198247783,7.80501634277279,7.73764434768431,8.15675782152043,8.31981082754459,8.40620553877945,7.9625988200429
"argA",11.9895908864813,11.1565333869944,11.1860950548825,13.8341628579367,12.7727674047268,12.9172722243722,13.8542274710684,13.1372503433113,12.455399063325,11.5594870389362,11.866003950804,12.1928629121525
"argB",11.1549576479923,9.76598300241,10.4605244949657,11.5038974322584,11.5912994651846,11.1591665237769,12.5880263198941,12.7831004809837,12.5945497299464,9.89323684094312,10.1449220432681,9.97721715698891
"argC",11.0688641017246,9.99035884787322,10.8355446304045,13.0928656811678,12.3374434446746,12.5347363855367,12.6350429862999,12.2713358775656,11.6727739714554,11.1237300188096,11.3947346211534,11.7641403844028
"argD",10.6077912423018,9.37234922730827,10.0136823844743,11.4920204153209,10.5893358476879,10.777122475432,11.4380138008973,11.3097539832159,11.3892345588188,10.0329485165808,10.283918316526,10.4532145665088
"argE",12.5146273479628,11.5713456533913,12.1590880312669,12.487718325133,12.3983181247274,12.3562701965025,13.2049608216525,13.0169538865591,12.565498651694,11.7929829902184,11.769099495815,11.8772470798503
"argF",10.4512221257616,9.46641264008487,10.044500724598,12.5950198234375,11.8625993134744,12.2140767619652,12.0019288298768,12.1957340864711,12.2977796809011,10.4989323739993,10.9793753845724,10.4633150923096
"argG",13.7372667911391,11.9466441594951,12.532623288949,13.7576910713251,13.3453546637369,13.0980495508328,14.6220705980078,14.3533890236625,13.9036413554299,12.2707010933712,12.5239493233973,12.4688206037969
"argH",11.9621781439409,11.0245763385748,10.7550208996151,11.8183855121947,12.1952827995277,11.9021434728574,13.2105816284185,13.3048906669199,13.1350164752596,9.83552685767389,10.1164411271335,10.142226431812
"argI",9.70279291188706,8.68504414574337,8.31200398078199,11.3632008311538,10.6752137832603,10.9199258837666,11.7845063156342,11.0506996445495,10.2470283689266,8.58262537032588,9.27338746927182,8.9534664232155
"argO",8.49383042931859,9.17403718726973,8.61248954973637,8.24688251154939,8.21328316452529,8.16997419557917,8.69827397250213,8.72734085274144,8.57852030057813,8.15039126564088,8.28456000815478,7.9511547374768
"argP",11.907130604,11.8809141406266,11.6444271188864,11.595549602236,11.7086648251495,11.8984925369768,12.1946216013335,12.0771900903249,11.5997942434488,11.4372400691561,11.308693194839,11.708330729372
