"Gene","logFC","adj.P.Val","P","SignedZ"
"eutM",0.683743750425345,0.226836708779787,0.226836708779787,1.20854757213938
"lplT",-0.253108818330012,0.226836708779787,0.226836708779787,-1.20854757213938
"yejA",-0.196876686168315,0.226836708779787,0.226836708779787,-1.20854757213938
"yfbN",-0.672294399837751,0.227284259623028,0.227284259623028,-1.20738409050361
"thiC",-0.434765117183223,0.228414698708277,0.228414698708277,-1.20445258288689
"ygiF",0.228689654666599,0.228711425428739,0.228711425428739,1.20368481025528
"ybhI",0.896634096447201,0.228857671809135,0.228857671809135,1.20330666247208
"ygeO",-0.749662654264056,0.228857671809135,0.228857671809135,-1.20330666247208
"yqcC",0.310267570643956,0.228857671809135,0.228857671809135,1.20330666247208
"sdiA",0.30102846350522,0.22916754276093,0.22916754276093,1.2025060003099
"yraK",0.30533486979737,0.229964193417604,0.229964193417604,1.20045109943987
"ldrA",0.88636678520091,0.230629272542694,0.230629272542694,1.1987394517783
"ybjC",-0.399705145834896,0.230656676016537,0.230656676016537,-1.19866900150963
"fhuB",-0.397641395808593,0.230656676016537,0.230656676016537,-1.19866900150963
"dcm",-0.306094662646483,0.230656676016537,0.230656676016537,-1.19866900150963
"yaiX",0.701002421785149,0.230906258342207,0.230906258342207,1.19802763599819
"parE",-0.398786443216354,0.230906258342207,0.230906258342207,-1.19802763599819
"nuoM",0.263672867877828,0.231217776034368,0.231217776034368,1.19722780252193
"casB",-0.46707798182799,0.231227551374595,0.231227551374595,-1.1972027163581
"melA",0.334033006957641,0.231227551374595,0.231227551374595,1.1972027163581
"rffH",-0.399862715569673,0.231242814031674,0.231242814031674,-1.19716354976327
"scpA",0.505331625866839,0.231256478016273,0.231256478016273,1.19712848719405
"ydhL",0.458964038772702,0.231256478016273,0.231256478016273,1.19712848719405
"fic",0.390996009735938,0.231256478016273,0.231256478016273,1.19712848719405
"grxA",-0.314000131291822,0.231520859004794,0.231520859004794,-1.19645035990812
"yagG",0.496326784834514,0.231667963384835,0.231667963384835,1.19607328082891
"hipH",-0.206151299695455,0.231846435165746,0.231846435165746,-1.19561602452938
"sgcQ",0.518864869187284,0.231920035316249,0.231920035316249,1.19542752894493
"yiiR",0.326193848902691,0.232458913435427,0.232458913435427,1.19404871309633
"eutG",0.702794631204238,0.232971036908912,0.232971036908912,1.19274045426766
"zapA",0.343942182632032,0.233539199072692,0.233539199072692,1.19129142492336
"osmB",0.465488610164897,0.233884738343549,0.233884738343549,1.19041139036524
"yegI",0.322736834115212,0.234020161934937,0.234020161934937,1.19006673897394
"glyQ",0.153705902664534,0.235809402326655,0.235809402326655,1.18552635091726
