"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"ftp",1.317444236,10.397275262,8.57896112884395,3.80537061694114e-05,0.00192973553333798,2.66044738419792,0.00192973553333798,3.10083843128837
"galE",1.30879477633333,10.3840449118333,8.52322930255016,3.98029967264601e-05,0.00199441444311513,2.61243422177385,0.00199441444311513,3.09106280489917
"ftnB",1.798265615,9.63924628916667,8.50421758079962,4.04202070736899e-05,0.00200151354791954,2.595991078956,0.00200151354791954,3.09000762810387
"tar",-1.58569704,11.60954959,-8.43459742998042,4.27737285960995e-05,0.00208726277707866,2.53549484680984,0.00208726277707866,-3.07752650198113
"hisJ",1.53769404333333,14.887412635,8.42404432489204,4.31437067250757e-05,0.00208726277707866,2.52628587296629,0.00208726277707866,3.07752650198113
"gltF",-1.57476683266667,9.89788045366667,-8.39995976136941,4.4001587407402e-05,0.00210457592497449,2.50523037115917,0.00210457592497449,-3.07506370933001
"ydfZ",-1.231098542,8.96523412,-8.38290968718394,4.46204584964987e-05,0.00211019673945801,2.49029215055956,0.00211019673945801,-3.07426814398377
"proP",-1.22669967,12.8911369583333,-8.34279772365673,4.611524484081e-05,0.00215665628372188,2.45504183738427,0.00215665628372188,-3.06776571608092
"dadA",1.52146506,11.71602084,8.29090878753055,4.81328084183398e-05,0.00221424808150937,2.40921853617107,0.00221424808150937,3.05988119414074
"modB",-1.10691697333334,11.1561261166667,-8.27414577609134,4.88055810773408e-05,0.00221424808150937,2.39436089761138,0.00221424808150937,-3.05988119414074
"blc",-1.42164140566667,9.28391215783333,-8.27119884060864,4.89249397910125e-05,0.00221424808150937,2.3917461823839,0.00221424808150937,-3.05988119414074
"yqjE",-1.06362134333333,11.8895801583333,-8.24408419739434,5.00386320047417e-05,0.00222226419326836,2.36764968207928,0.00222226419326836,-3.0587986980121
"ynjH",-1.23151674833334,8.99249956683333,-8.22910362108433,5.06660963149272e-05,0.00222226419326836,2.35430666413391,0.00222226419326836,-3.0587986980121
"proY",1.33791451633333,10.0088093685,8.22863189483928,5.06859972805327e-05,0.00222226419326836,2.35388615647079,0.00222226419326836,3.0587986980121
"argI",1.00597164933333,9.99690556533333,8.21114559915938,5.14299148875772e-05,0.00223163414187436,2.33828350261892,0.00223163414187436,3.05753790636629
"rlmD",1.466295888,10.414217316,8.17975045974896,5.27964441309685e-05,0.00224481085185381,2.31019694865074,0.00224481085185381,3.05577307127152
"flgG",-1.32743376,14.10645366,-8.17966417916689,5.28002552467397e-05,0.00224481085185381,2.31011963064448,0.00224481085185381,-3.05577307127152
"ddpX",1.434840457,7.49384166816667,8.15199643658121,5.40384144113515e-05,0.00227447686257378,2.28528903064643,0.00227447686257378,3.05183421260187
"rnc",-0.931083780000002,11.6654078666667,-8.12986562314948,5.50522151733185e-05,0.00229420567984651,2.26537448354525,0.00229420567984651,-3.04924072497815
"galT",1.25688129766667,9.87928038116667,8.10643103081218,5.61490198407815e-05,0.00231697278931225,2.24423507507441,0.00231697278931225,3.04627310267119
"rpoD",1.11085995,12.7188992516667,8.0600004036133,5.83951201479083e-05,0.00236981679474627,2.2021942011775,0.00236981679474627,3.03948668288238
"cheW",-1.54792500333334,14.3872691216667,-8.05675779758081,5.85557012719441e-05,0.00236981679474627,2.19925030657627,0.00236981679474627,-3.03948668288238
"yodD",-2.06724750233334,11.1965929321667,-7.98171594679916,6.241362340875e-05,0.00250189467549932,2.1308328618524,0.00250189467549932,-3.0231121952406
"dtpB",1.23444156733333,9.056688481,7.94973630178388,6.41435077811533e-05,0.00254698136085731,2.10150719598024,0.00254698136085731,3.01770330125664
"yjeT",1.34079068566667,10.7501428038333,7.87055172208835,6.86624935874455e-05,0.00270093864962204,2.028455022585,0.00270093864962204,2.99987111861847
"hisQ",1.06809287666667,11.436535075,7.85614200605096,6.95225806055281e-05,0.002709449460821,2.01509353824264,0.002709449460821,2.99891268127367
"fliZ",-1.84276799666667,12.1276296116667,-7.83008063242697,7.11089197730798e-05,0.0027458481038981,1.99087469828125,0.0027458481038981,-2.99484447302515
"waaC",-1.001905035,10.5262617558333,-7.77682176968891,7.4478271849201e-05,0.00284980951102988,1.94116670830631,0.00284980951102988,-2.98349042632941
"yjaA",1.16808976933333,8.57585280033333,7.74005440421613,7.69084645069811e-05,0.00291628582981877,1.9066815858715,0.00291628582981877,2.97642691483383
"ddpA",1.152153897,7.56464451416667,7.72871199811179,7.76759610919161e-05,0.00291909035924888,1.89601520397653,0.00291909035924888,2.9761321590892
"cysP",1.46750844,13.38618746,7.70579285653839,7.92530925118988e-05,0.00295200235736798,1.87442159441813,0.00295200235736798,2.97269228963678
